,Rainfall (mm),Date,Year,Month,Day
289,15.24,1972-10-16,1972,10,16
290,21.59,1972-10-17,1972,10,17
291,0.0,1972-10-18,1972,10,18
292,0.0,1972-10-19,1972,10,19
293,0.0,1972-10-20,1972,10,20
294,2.54,1972-10-21,1972,10,21
295,0.0,1972-10-22,1972,10,22
296,0.0,1972-10-23,1972,10,23
297,0.0,1972-10-24,1972,10,24
298,0.0,1972-10-25,1972,10,25
299,3.048,1972-10-26,1972,10,26
300,0.0,1972-10-27,1972,10,27
301,0.0,1972-10-28,1972,10,28
302,27.94,1972-10-29,1972,10,29
303,0.0,1972-10-30,1972,10,30
304,0.0,1972-10-31,1972,10,31
305,0.0,1972-11-01,1972,11,1
306,12.7,1972-11-02,1972,11,2
307,5.08,1972-11-03,1972,11,3
308,17.78,1972-11-04,1972,11,4
309,0.0,1972-11-05,1972,11,5
310,0.0,1972-11-06,1972,11,6
311,5.08,1972-11-07,1972,11,7
312,3.81,1972-11-08,1972,11,8
313,0.0,1972-11-09,1972,11,9
314,0.0,1972-11-10,1972,11,10
315,0.0,1972-11-11,1972,11,11
316,0.0,1972-11-12,1972,11,12
317,0.0,1972-11-13,1972,11,13
318,0.0,1972-11-14,1972,11,14
319,0.0,1972-11-15,1972,11,15
320,5.08,1972-11-16,1972,11,16
321,0.0,1972-11-17,1972,11,17
322,0.0,1972-11-18,1972,11,18
323,5.08,1972-11-19,1972,11,19
324,0.0,1972-11-20,1972,11,20
325,0.0,1972-11-21,1972,11,21
326,0.0,1972-11-22,1972,11,22
327,0.0,1972-11-23,1972,11,23
328,6.35,1972-11-24,1972,11,24
329,0.0,1972-11-25,1972,11,25
330,0.0,1972-11-26,1972,11,26
331,0.0,1972-11-27,1972,11,27
332,0.0,1972-11-28,1972,11,28
333,0.0,1972-11-29,1972,11,29
334,0.0,1972-11-30,1972,11,30
335,0.0,1972-12-01,1972,12,1
336,0.0,1972-12-02,1972,12,2
337,0.0,1972-12-03,1972,12,3
338,0.0,1972-12-04,1972,12,4
339,0.0,1972-12-05,1972,12,5
